,id,title,price,location,size,size_unit,bedrooms,bathrooms,location_region
13,4097457,شقه بانوراما سوبر لوكس الدور الثامن وليس الاخير تصلح لتكون ،٣غرف وهى حاليا غرفتي,500000,ابو تلات,100,متر²,2,2,أبو تلات
14,4097450,حجرة و صالة مطبخ امريكاني وحمام يري البحر من الجنب ١٥ متر من بوابة الشاطيء الدور,120000,ابو تلات,50,متر²,1,1,أبو تلات
15,4087586,شقه لقطه للبيع  اسكندريه أبو تلات,380000,اسكندريه أبو تلات,85,متر²,2,1,أبو تلات
16,4061815,شقة للبيع بالاسكندرية ابو تلات 85 متر,200000,الاسكندرية ابوتلات,85,متر²,2,1,أبو تلات
17,4069703,شقة فرصة لسرعة البيع مطلوب 450 الف للبيع بها رخصة و عداد كهرباء في العجمي ابوتلا,450000,ابو تلات,160,متر²,2,1,أبو تلات
18,4039956,شقه تشطيب لوكس بالساحل ك23 ابو تلات عماير لافيدا,500000,ابو تلات-الاسكندرية,80,متر²,2,1,أبو تلات
19,4039622,شقه تشطيب لوكس بالساحل ك23 ابو تلات,500000,ابو تلات,80,متر²,2,1,أبو تلات
20,3951493,روف للبيع او البدل,750000,ابو تلات,250,متر²,3,3,أبو تلات
21,3951488,روف يرى البحر متشطب بالعفش والأجهزة عماره باسانسير ودور تاني في اوضه,700000,ابو تلات,175,متر²,3,2,أبو تلات
22,3941720,شقتين للبيع في ابو تلات على الرئيسي,1800000,ابو تلات,240,متر²,6,2,أبو تلات
23,3956088,شقة ارضى بالسيلفر بيتش,1000000,أبو تلات، الاسكندرية,100,متر²,2,2,أبو تلات
24,3887586,شقة للبيع بأبو تلات 70م,300000,"الاسكندرية , ابو تلات",70,متر²,2,1,أبو تلات
25,3855002,شقه للبيع,700000,ابو تلات,110,متر²,3,2,أبو تلات
26,3844192,شقه للبيع,315000,ابو تلات الاسكندريه,100,متر²,2,1,أبو تلات
27,3839912,شقه للبيع,210000,ف بداية الساحل الشمالي منطقة ابو تلات,70,متر²,2,1,أبو تلات
28,3949380,دوبلكس 452 متر² للبيع فى أبو تلات,1850000,الكيلو ٢٦ ابو تلات شارع سيلفر بيتش,452,متر²,10,6,أبو تلات
29,3991246,شقه مفروشه تمليك للبيع,435000,أبو تلات، الاسكندرية,190,متر²,4,2,أبو تلات
30,3986773,ستوديو للبيع  بحي أبو تلات,120000,ابو تلات,54,متر²,1,1,أبو تلات
31,3964661,موجود شقة للبيع في الكيلو ٢٣ بابو تلات اول الساحل الشمالي ترى البحر مباشرتا 75م,290000,الاسكندريه ابو تلات,75,متر²,2,1,أبو تلات
32,3960672,شقه مصيفيه بأبو تلات تري البحر بوضوح,280000,العجمي-الاسكندرية,80,متر²,2,1,أبو تلات
33,3937960,شقة للبيع 80 م علي البحر الساحل,450000,"أبو تلات , الاسكندرية",80,متر²,2,2,أبو تلات
34,3926632,شقه تشطيب لوكس بالساحل ك23 ابو تلات,500000,الاسكندرية,80,متر²,2,1,أبو تلات
35,3909179,بالعجمى ابو تلات... شقة 75 م.. 3 غرف و صاله و مطبخ مقفول و حمام,200000,الاسكندريه ابو تلات,75,متر²,3,1,أبو تلات
36,3901462,بالعجمى ابو تلات... شقة 75 م.. 3 غرف و صاله و مطبخ مقفول و حمام,200000,الاسكندريه ابو تلات,75,متر²,3,1,أبو تلات
37,3849282,شقه للبيع فى موقع مميز,800000,ابو تلات,200,متر²,4,2,أبو تلات
38,3856157,شقه للبيع,400000,ابو تلات الاسكندريه,80,متر²,2,1,أبو تلات
39,3855245,شقه مصيفيه للبيع,250000,ابو تلات,72,متر²,2,1,أبو تلات
40,3829715,شقه للبيع,300000,ع بأبو تلات,105,متر²,3,1,أبو تلات
41,4044474,للبيع شقة ٨٠متر من المالك مباشر فى ابو تلات اسكندرية اول طريق الساحل,170000,"أبو تلات, الإسكندرية",80,متر²,2,1,أبو تلات
42,4006008,شقه للبيع,200000,أبو تلات، الاسكندرية,50,متر²,1,1,أبو تلات
43,3940313,شقه مصيفيه للبيع فى ابو تلات الكيلو ٢٥,325000,ابو تلات,90,متر²,3,1,أبو تلات
44,3893309,شقه120الف بس ترا البحر كاملا,120000,ابو تلات,90,متر²,2,1,أبو تلات
45,3754092,شقه للبيع 75 متر بشاطئ السيلفر بيتش بالكيلو 26,150000,شاطئ السيلفر بيتش بالكيلو 26  اول الساحل فى منتجع لابيرا,75,متر²,2,1,أبو تلات
46,3920895,شقة للبيع في ابوتلات 85م اتنين بلكونة,250000,الاسكندرية ابو تلات شارع الاهرام,85,متر²,2,1,أبو تلات
47,3865941,شقه مصيفيه لقطه بابو تلات اول الساحل الشمالى,160000,بابو تلات اول الساحل الشمالى,70,متر²,2,1,أبو تلات
48,3844698,شقه للبيع  ابوتلات العجمي,120000,ابوتلات العجمي,180,متر²,3,2,أبو تلات
49,4005682,ابو تلات شقه سوبر لوكس,175000,ابو تلات,75,متر²,2,1,أبو تلات
50,3933874,شقة مصيفية للبيع بسيلفر بيتش بأبو تلات بالاسكندرية,180000,ابو تلات,80,متر²,2,1,أبو تلات
51,3933778,شقة في أبو تلات الكيلو ٢٦,100000,ابو تلات,122,متر²,3,2,أبو تلات
52,3919261,شقة مصيفيه استثمار ممتاااز بالسعر القددددديم,160000,المكان اول طريق الساحل الكيلو ٢٥ شاطئ ابو تلات,80,متر²,2,1,أبو تلات
53,3893337,شقة بالطابق الأول علوي ، مساحتها ١٢٢ صافي + حصة في الأرض,100000,"أبو تلات, الإسكندرية",122,متر²,3,2,أبو تلات
54,3863893,شقه للبيع,60000,ابوتلات,60,متر²,2,1,أبو تلات
55,4066943,شقة مصيفية للبيع,240000,ابو تلات - العجمي - الإسكندرية,80,متر²,2,1,أبو تلات
56,4042924,روف علي البحر مباشره,300000,شارع ابو تلات علي شاطئ ابوتلات,250,متر²,4,1,أبو تلات
57,4061623,شقة لقطة للبيع لظروف السفر,490000,ابو تلات ، كمباوند جاسمين ٤ ، شارع الزنكلوني المتفرع من شارع الأهرام,85,متر²,2,1,أبو تلات
58,3887581,شقه للبيع غرفتين وصاله,250000,ابو تلات,70,متر²,2,1,أبو تلات
59,4073780,الكيلو 23 أبو تلات طريق الساحل الشمالي,120000,الكيلو 23 أبو تلات طريق الساحل الشمالي أمام مظلوم للسيراميك الكيلو 23 شارع الدكتور محمد خفاجي,55,متر²,1,1,أبو تلات
60,3835610,ستديو في ابو تلات الاسكندرية - تالت صف علي البحر,120000,ش الاهرام بجوار نقطة حي ابو تلات,56,متر²,1,1,أبو تلات
61,4133124,شقه ٨٠ متر للبيع علي الطوب,150000,شاطئ الصفا بجوار فيلا ابراهيم نافع,80,متر²,2,1,أبو تلات
62,4127913,شقه دوبلكس 160 م سوبر لوكس بالعفش,950000,"أبو تلات, الإسكندرية",160,متر²,3,2,أبو تلات
63,4120943,شقة للبيع,175000,الاسكندريه ابو تلات,80,متر²,2,1,أبو تلات
64,4121862,لسرعة البيع بسعر لقطة شقة اول صف علي البحر,550000,الاسكندريه أبوتلات,100,متر²,2,1,أبو تلات
65,4121849,اشترى واستلم فورا من المالك شقة مصيفية او سكنية للبيع,175000,الاسكندريه أبوتلات,80,متر²,2,1,أبو تلات
66,4097431,شقة للبيع ابو تلات الاسكندرية من المالك مباشر,300000,ابو تلات,85,متر²,2,1,أبو تلات
67,4097437,- ادفع مقدم 176الف واستلم فورا شقة مصيفية سوبر سوبر لوكس اقوي عروض الساحل الشمال,350000,ابو تلات,76,متر²,2,1,أبو تلات
68,4097457,شقه بانوراما سوبر لوكس الدور الثامن وليس الاخير تصلح لتكون ،٣غرف وهى حاليا غرفتي,500000,ابو تلات,100,متر²,2,2,أبو تلات
69,4097450,حجرة و صالة مطبخ امريكاني وحمام يري البحر من الجنب ١٥ متر من بوابة الشاطيء الدور,120000,ابو تلات,50,متر²,1,1,أبو تلات
70,4087586,شقه لقطه للبيع  اسكندريه أبو تلات,380000,اسكندريه أبو تلات,85,متر²,2,1,أبو تلات
71,4061815,شقة للبيع بالاسكندرية ابو تلات 85 متر,200000,الاسكندرية ابوتلات,85,متر²,2,1,أبو تلات
72,4069703,شقة فرصة لسرعة البيع مطلوب 450 الف للبيع بها رخصة و عداد كهرباء في العجمي ابوتلا,450000,ابو تلات,160,متر²,2,1,أبو تلات
73,4039956,شقه تشطيب لوكس بالساحل ك23 ابو تلات عماير لافيدا,500000,ابو تلات-الاسكندرية,80,متر²,2,1,أبو تلات
74,4039622,شقه تشطيب لوكس بالساحل ك23 ابو تلات,500000,ابو تلات,80,متر²,2,1,أبو تلات
0,4131002,شقة للبيع فى شارع 25 الرئيسي,750000,Street 25، Abo Qir,110,متر²,3,1,أبو قير
1,4124278,طوسون متاح شقه تمليك للبيع,900000,طوسون مساكن الضباط,90,متر²,2,1,أبو قير
2,4128100,شقة فى شارع 25 المستشارين شارع  سوبر ماركت ابن البد سوبر لوكس,530000,شارع 25 المستشارين قريبة من فتح الله و فرع بى تك,85,متر²,2,1,أبو قير
3,4105986,شقه للبيع بشارع الجمهورية أبو قير الاسكندرية ثاني نمرة على البحر,850000,شارع الجمهورية أبو قير بالاسكندرية,100,متر²,3,1,أبو قير
4,4079673,شقه للبيع بطوسن,590000,ش 10متفرع من ش 25 طوسون,100,متر²,3,1,أبو قير
5,4042915,"شقة بابوقير 
٢ غرفة وريسيبشن قطعتين وحمام ومطبخ
مساحة ١٠٠ م 
٢ اسانسير 
باب مصفح
اسقف جيبسوم بوردز كامل الشقة 
الوميتال مطبخ كام",620000,شارع طوسون، أبو قير,100,متر²,1,1,أبو قير
6,3863398,شقه تشطيب سوبرلوكس,820000,حى المستشارين طوسون ابوقير,140,متر²,3,1,أبو قير
7,3870868,مساكن طوسون الصناعية أمام القسم,600000,مساكن طوسون ، أمام القسم,85,متر²,3,1,أبو قير
8,3930942,شقة بطوسون,1100000,طوسون، أبوقير,185,متر²,1,1,أبو قير
9,3913880,شقه في برج اول نمره علي بحر الاسكندرية,1000000,طوسون، أبوقير,105,متر²,2,2,أبو قير
10,3958648,ابو قير اسكندريه,400000,شارع رقم 16 طريق قطار رشيد، أبو قير,75,متر²,2,1,أبو قير
11,4097129,طوسون شقة سوبر لوكس للبيع,600000,طوسن,100,متر²,3,1,أبو قير
12,4008967,شقة للبيع بطوسون المستشارين طريق الجبل,510000,شارع 25، أبو قير,110,متر²,1,1,أبو قير
13,3877842,فيلا دوبلكس سوبر لوكس بجنينه,3800000,شارع طوسون، أبو قير,350,متر²,4,5,أبو قير
14,4036697,للبيع من المالك شقه سوبر لوكس بشارع ٢٥ الرئيسي,630000,طوسون شارع ٢٥الرئيسي,125,متر²,3,1,أبو قير
15,3940824,شقة صف اول بحر دورين للبيع في ابوقير,1650000,برج الاطباء،ش الجيش متفرع من شارع الوحده ،براديس,204,متر²,4,3,أبو قير
16,3948938,شقة للبيع فى طوسون خطوات من ادارة المرور وقسم المنتزة,499000,طوسون تقاطع شارع 16 مع 25 بجوار ادارة المرور والقسم,100,متر²,3,1,أبو قير
17,3903087,شقة رائعة بمساكن ضباط طوسون,800000,مساكن ضباط طوسون - امام الاكادمية العربية,110,متر²,2,1,أبو قير
18,3967745,شقتين مفتوحين سوبر لوكس بمدينة الضباط طوسون,1350000,الإسكندرية مدينة ضباط طوسون عمارة ٣٨ج أمام المزلقان المقفول,177,متر²,5,2,أبو قير
19,4077620,شقة للبيع طوسون بجوار الاكاديمية البحرية,900000,طوسون,140,متر²,3,1,أبو قير
20,4011653,شقة مساحة 90 متر غرفتين و ريسيبشن 3 قطع ترى البحر بوضوح,450000,شارع الظاهر بيبرس، أبو قير,90,متر²,2,1,أبو قير
21,4012181,شقة تمليك للبيع,510000,شارع 25، أبو قير,110,متر²,1,1,أبو قير
22,3944293,شقه للبيع فى ابو قير شارع عبدالعزيز,420000,شارع الظاهر بيبرس، أبو قير,110,متر²,3,1,أبو قير
23,3888740,شقه علي البحر ب ابو قير اسكندرية,500000,شارع الألفي، أبو قير,70,متر²,2,1,أبو قير
24,3910423,شقة مميزة لعشاق السكن الراقى والهدوء,874950,شارع المستشارين طوسون أمام فتح الله ماركت مباشرة,150,متر²,3,2,أبو قير
25,3990720,شقة للبيع الاسكندرية,500000,شارع بورسعيد أبوقير,80,متر²,2,1,أبو قير
26,3963172,شقة للبيع في طوسون الاسكندرية بسعر مغري,450000,طوسون المعمورة البلد,90,متر²,3,1,أبو قير
27,3906985,شقه للبيع تري البحر مباشره,550000,ابوقير التقسيم الجديد شارع فؤاد نصر,75,متر²,2,1,أبو قير
28,4082272,٣٤ مساكن الضباط ابوقير طوسون شقة ٤٢,500000,ابوقير مساكن الضباط قريبة من الاكادمية البحرية بناية رقم ٣٤,97,متر²,2,1,أبو قير
29,3916903,"شقة سوبرلوكس في اول شارع المستشارين دور خامس يمين الاسنسير , تشطيب سوبرلوكس جديد",400000,"شارع المستشارين , ابوقير , الشارع الي في وش شارع القسم  رابع نمرة من الشارع",70,متر²,2,1,أبو قير
30,3983204,شقة بابو قير شارع الجمهورية بالحي الراقي,300000,أبوقير، أبو قير,90,متر²,3,1,أبو قير
31,4133357,شقة عريس لُقطة للبيع بموقع متميز أمام البحر,260000,الاسكندريه أبو قير,70,متر²,2,1,أبو قير
32,4129122,شقة لقطة للبيع 110 م طوسون,510000,طوسون الاسكندرية,110,متر²,3,1,أبو قير
33,4128038,شقة للبيع ٨٠ متر الدور الثالث ٢غرفة وصالة,580000,اسكندريه /أبو قير/بمدينة ظباط القوات المسلحة بطوسون/ وبالقرب من الاكاديمية البحرية ومدينة ابوقير الجديدة,80,متر²,2,1,أبو قير
34,4128007,شقة تمليك للبيع 110 م أبو قير,510000,أبو قير الاسكندرية,110,متر²,2,1,أبو قير
35,4111428,شقة للبيع ابو قير,360000,ابو قير,110,متر²,3,1,أبو قير
36,4124118,شقه للبيع في أبوقير ش احمد عرابي,280000,أبوقير الاسكندرية,55,متر²,2,1,أبو قير
37,4122461,شقه للبيع بشارع الاداره التعليمه - خلف مدرسه الصنايع بحوار كافتريا البرنس 2,480000,ابوقير,90,متر²,2,1,أبو قير
38,4122458,شقه للبيع بطوسون اسكندريه شارع ٨ متفرع من ٢٥7 الرئيسي,600000,ابوقير,155,متر²,3,1,أبو قير
39,4118212,للبيع من المالك مباشره,650000,اسكندريه طوسون,125,متر²,3,1,أبو قير
40,4115807,شقة ٨٠ متر للبيع الدور الثالث بمجموعة د غرفتين وصالة,550000,اسكندريه /أبوقير/بمدينة القوات المسلحة بطوسون,80,متر²,2,1,أبو قير
41,4114352,شقة  للبيع 90م,700000,أبوقير_طوسون,90,متر²,2,1,أبو قير
42,4114200,شقه للبيع,350000,اسكندريه أبو قير,55,متر²,2,1,أبو قير
43,4122685,شقة للبيع فى أبوقير شارع احمد  عرابي,300000,أبوقير,55,متر²,2,1,أبو قير
44,4115802,شقة لقطة مساحة ١٢٥م رسيبشن ٣ قطع غرفتين وبلكونة كبيرة جدا متقفلة غرفة الرابع,550000,اسكندريه /آخر شارعها بحر ابوقير/بأبى قير,125,متر²,2,1,أبو قير
45,4113241,شقه لؤؤؤؤؤرؤؤؤؤطه بجد علي نصيتات للبيع في أبو قير البلد /,370000,ابوقير,100,متر²,3,1,أبو قير
46,4112829,شقة  للبيع 125م,470000,طوسون_ شارع المستشارين,125,متر²,3,1,أبو قير
47,4114334,شقة  للبيع 130م,470000,طوسون_ شارع المستشارين,130,متر²,3,1,أبو قير
48,4111735,شقة للبيع بالاسكندرية  ابو قير 130 متر,470000,الاسكندرية ابو قير,130,متر²,3,1,أبو قير
49,4116459,شقه للبيع حجره وصاله,75000,اسكندريه طوسون,50,متر²,1,1,أبو قير
50,4104363,شقه لقطه للبيع,600000,اسكندريه أبو قير,80,متر²,2,1,أبو قير
51,4100501,شقة  للبيع 70م,390000,طوسون_ مساكن الجهاز اماميه البريد والتأمينات,70,متر²,2,1,أبو قير
52,4100437,شقة  للبيع 110م,740000,طوسون_شارع 25,110,متر²,3,1,أبو قير
53,4101173,شقة  للبيع 125م ف منطقة طوسون المستشارين,700000,طوسون_ شارع المستشارين,125,متر²,3,1,أبو قير
54,4100311,شقة  للبيع 110م,700000,طوسون_ شارع المستشارين,110,متر²,3,1,أبو قير
55,4099468,شقه  للبيع في طوسون,740000,ابو قير-اسكندرية,110,متر²,3,1,أبو قير
56,4095264,شقة  للبيع 155م,600000,طوسون_شارع 25,155,متر²,3,1,أبو قير
57,4095545,شقه للبيع 76 متر,350000,الاسكندرية - أبو قير - مساكن طوسون,76,متر²,2,1,أبو قير
58,4095261,شقة  للبيع 76م,350000,طوسون,76,متر²,2,1,أبو قير
59,4084669,شقة  للبيع 100م _طوسون,520000,شارع المستشارين_طوسون,100,متر²,3,1,أبو قير
60,4082481,شقه لوطه للبيع,320000,ابو قير ميدان الجمهوريه,80,متر²,2,1,أبو قير
61,4082429,فى شقه للبيع في طوسون,300000,الأسكندريه طوسون,65,متر²,2,1,أبو قير
62,4100277,للبيع شقة لؤطة لدواعي السفر,350000,اسكندريه طوسون,76,متر²,2,1,أبو قير
63,4075639,ش16 الإصلاح الفلكي  الدور ال14 بالروف,600000,الاسكندرية - ش16 الإصلاح الفلكي,160,متر²,3,1,أبو قير
64,4095248,شقة  للبيع 70م,220000,طوسون_خلف التأمين,70,متر²,2,1,أبو قير
65,4071850,شقة للبيع 115متر,520000,الاسكندرية - أبو قير - شارع الاصلاح,115,متر²,3,1,أبو قير
66,4074468,للبيع من المالك مباشره,630000,اسكندريه طوسون,125,متر²,3,1,أبو قير
67,4089450,شقه سوبر لوكس,320000,اسكندريه طوسون,75,متر²,2,1,أبو قير
68,4071257,للبيع من المالك مباشره شقه ١٢٥م,630000,طوسون الإسكندرية,125,متر²,3,1,أبو قير
69,4069597,شقه فرصة بطوسون الإسكندرية ش 25 عمومي  2 غرفة ورسيبشن قطعتينالشقه جانبي شايف,500000,الاسكندريه - ابوقير,80,متر²,2,1,أبو قير
70,4069588,شقه تمليك طوسون الاسكندريه الدور12 اسانسير مدخل شيك وحارس وكاميرات مراقبه,480000,الاسكندريه - ابوقير,90,متر²,2,1,أبو قير
71,4069025,شقة للبيع بالاسكندرية ابو قير 110 متر,540000,الاسكندرية ابو قير,110,متر²,3,1,أبو قير
72,4069015,شقه للبيع بطوسون ثلاث غرف كبارورسيبشن قطعتين مطبخ أمريكاني وحمام اوضه الدور الثا,400000,طوسون,140,متر²,3,1,أبو قير
73,4066557,شقة بابوقير  ٢ غرفة وريسيبشن قطعتين وحمام ومطبخ مساحة ١٠٠ م,560000,ابوقير,100,متر²,2,1,أبو قير
74,4086617,شقة تري البحرللبيع في ابوقير,450000,اسكندريه - ابوقير,100,متر²,2,1,أبو قير
75,4064616,روف مساحه ١٨٠ متر علي البحر مباشره ٣ غرفه ٢ حمام رسبشن ٢ قطعه تراس علي البحر بمس,1250000,ابو قير,180,متر²,3,2,أبو قير
76,4084677,شقة  للبيع 60م طوسون_,275000,طوسون_ شارع المستشارين,60,متر²,2,1,أبو قير
77,4084381,شقة للبيع طوسون بجوار شارع الرحاب,265000,طوسون بجوار شارع الرحاب,60,متر²,2,1,أبو قير
78,4064612,شقه ٣غرف و رسبيشين وحمام ومطبخ علي طوبه الدور الثامن كامله المرافق اسانسير جديد.,620000,ابو قير,120,متر²,3,1,أبو قير
79,4082478,شقة مساحة 65م بالدور الرابع علوى بها جميع المرافق مياة وكهرباء تصلح لعريس لا تحت,200000,ابو قير,65,متر²,2,1,أبو قير
80,4063312,شقه ٩٠ متر للبيع دور اخير سطح معزول,360000,طوسون الاسكندريه,90,متر²,2,1,أبو قير
81,4100454,شقة  للبيع 75م,350000,طوسون_شارع 25,75,متر²,2,1,أبو قير
82,4061518,للبيع من المالك مباشره,680000,اسكندريه طوسون,125,متر²,3,1,أبو قير
83,4060283,دور ١٢ اخير ٨٠ متر ٢ غرفة وحمام ومطبخ تشطيب بورسلين واجواد خامات التشطيبات ناقصة,350000,ابو قير,80,متر²,2,1,أبو قير
84,4059643,شقه للبيع 90 متر,800000,الاسكندرية - طريق ابوقير - طوسون - ش الاداره التعليميه العمومي امام الاكاديميه البحريه والمستشارين,90,متر²,2,1,أبو قير
85,4060166,شقة  للبيع 110م,600000,طوسون_شارع 25,110,متر²,2,1,أبو قير
86,4095063,شقة  للبيع 60م,265000,طوسون\,60,متر²,2,1,أبو قير
87,4056155,للبيع من المالك مباشره,680000,اسكندريه طوسون,125,متر²,3,1,أبو قير
88,4068446,شقة للبيع بالاسكندرية ابو قير 110 متر,430000,الاسكندرية ابو قير,110,متر²,3,1,أبو قير
89,4052915,شقه للبيع  طوسون ابو قير,680000,طوسون ابو قير,125,متر²,3,1,أبو قير
90,3997464,شقة بابوقير  ٢ غرفة وريسيبشن قطعتين,560000,الاسكندريه ابوقير ش النهضة برج الإيمان,100,متر²,2,1,أبو قير
91,4052876,شقه للبيع في طوسون شارع 25 عمومي مساحه الشقه 90 متر الدور 6 وهي 14 دور,550000,الاسكندريه - ابوقير,90,متر²,2,1,أبو قير
92,4039943,شقة مميزة جداا فى طوسون المعمورة ورا الإدارة فى منطقة هادية وجميلة,450000,طوسون -الاسكندريه,60,متر²,2,1,أبو قير
93,4039615,شقة مميزة في طوسون المعمورة ورا الإدارة شارع 16,450000,المعمورة,60,متر²,2,1,أبو قير
94,4039431,شقة للبيع بالاسكندرية ابوقير 100 متر,380000,الاسكندرية ابو قير,100,متر²,3,1,أبو قير
95,4026761,للبيع غرفتين ورسيبشن قطعتين دور 3 سلم عماره 8 ادوار مساحه 85م,395000,الاسكندرية - أبوقير ش 16 الإصلاح و 10 السوق بجوار عيادات المواساة,85,متر²,2,1,أبو قير
96,4022153,شقة 120متر الدور الاخير مع الروف بنفس المساحة بباب مغلق يعزل الدورين عن باقى الع,750000,الاسكندريه ابوقير,120,متر²,2,1,أبو قير
97,4021769,شقة بابوقير  ٢ غرفة وريسيبشن قطعتين وحمام ومطبخ,560000,ابوقير,100,متر²,2,1,أبو قير
98,4013634,شقة بابوقير  ٢ غرفة وريسيبشن قطعتين وحمام ومطبخ مساحة ١٠٠ م  ٢ اسانسير,560000,الاسكندريه ابو قير,100,متر²,2,1,أبو قير
99,4011282,شقة مميزة جداا فى طوسون المعمورة ورا الإدارة,400000,طوسون -الاسكندريه,60,متر²,2,1,أبو قير
100,4069596,شقه تمليك طوسون الاسكندريه الدور11اسانسير تاني نمره من ش 16 قريبه من تقاطع ال25,530000,الاسكندريه - ابوقير,120,متر²,3,1,أبو قير
101,4069591,شقه فرصة بطوسون الاسكندريه  متفرع من شارع  25,400000,الاسكندريه - ابوقير,80,متر²,2,1,أبو قير
102,4068300,شقة تشطيب لوكس في طوسون الإسكندرية,320000,طوسون الإسكندرية,85,متر²,2,1,أبو قير
103,4033283,للبيع شقة 90 متر,750000,الاسكندرية - أبو قير -  طوسون ش الاداره التعليميه العمومي امام الاكاديميه البحريه والمستشارين,90,متر²,2,1,أبو قير
104,4034617,شقه للبيع بابو قير,450000,ابو قير,90,متر²,2,1,أبو قير
105,4028062,شقة للبيع بالاسكندرية ابو قير 100 متر,620000,الاسكندرية ابو قير,100,متر²,3,1,أبو قير
106,4028291,روف للبيع الاسكندريه بابوقير,650000,الاسكندريه بابوقير,120,متر²,3,1,أبو قير
107,3995804,شقة 60 م مميزة جداا فى طوسون المعمورة ورا الإدارة,485000,"طوسون , الإسكندرية",60,متر²,2,1,أبو قير
108,4025492,شقه للبيع ٩٠ متر الدور ٥ وليس الاخير   بدون اسانير,450000,اسكندريه/ابوقير شارع المحطه القديمه,90,متر²,3,1,أبو قير
109,3988934,شقة  للبيع 120م,380000,طوسون,120,متر²,4,2,أبو قير
110,3988609,شقه مساحه ٨٠متر صافي غرفتين ورسبشن أوضه مقفوله الاوضه تانيه مفتوحه علي ريسبشن,305000,اسكندريه /أبو قير/ ١٦الإصلاح عند كافتريا روعه,80,متر²,2,1,أبو قير
111,4021917,شقه للبيع الاسكندريه ابوقير,420000,الاسكندريه  ابوقير علي الشارع الرئيسي امام نقطة شرطة ابوقير,80,متر²,2,1,أبو قير
112,4014035,شقه للبيع فى  ابو قير,320000,ابو قير,75,متر²,2,1,أبو قير
113,3984979,شقة مميزة جداا فى طوسون المعمورة ورا الإدارة,485000,المعمورة-اسكندرية,60,متر²,2,1,أبو قير
114,4011293,شقتين مفتوحين على بعض بمساحه 220متر,1300000,طوسون -الاسكندريه,220,متر²,5,2,أبو قير
115,4050927,شقة للبيع بالاسكندرية  ابو قير 125 متر,680000,الاسكندرية ابو قير,125,متر²,3,1,أبو قير
116,3976757,شقتين مفتوحين سوبر لوكس 175 م مدينة ضباط طوسون الإسكندرية,1350000,"طوسون , الإسكندرية",175,متر²,5,2,أبو قير
117,3977126,شقتين دوبلكس مفتوحين 177 م سوبر لوكس مدينة ضباط طوسون بالإسكندرية,1350000,"طوسون , الإسكندرية",177,متر²,5,2,أبو قير
118,3975866,شقه للبيع بأبوقير شارع المعز,260000,أبوقير شارع المعز,75,متر²,2,1,أبو قير
119,3976065,شقة للبيع بالاسكندرية ابوقير 177 متر,1350000,الاسكندرية ابو قير,177,متر²,5,2,أبو قير
120,4000155,شقه للبيع على طوبه بشارع 25 طوسون,380000,شارع 25 طوسون,120,متر²,4,2,أبو قير
121,3991583,شقه للبيع من المالك مباشرة,380000,اسكندريه طوسون,120,متر²,4,2,أبو قير
122,3990729,شقة للبيع بالاسكندرية ابو قير 100 متر,410000,الاسكندرية ابو قير,100,متر²,3,1,أبو قير
123,3989741,شققة للبيع بالاسكندرية ابو قير 120 متر,380000,الاسكندرية ابو قير,120,متر²,4,2,أبو قير
124,3961010,شقة تشطيب حديث سوبر لوكس  منطقة تتميز بالهدوء و الرقى,1150000,ابوقير,125,متر²,2,1,أبو قير
125,3976633,شقه للبيع دور اول 100 م أبوقير,700000,"أبو قير , الاسكندرية",100,متر²,3,1,أبو قير
